REGION,CODIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CODIGO DANE DEL MUNICIPIO,MUNICIPIO
Region Eje Cafetero - Antioquia,5,Antioquia,5.001,Medellin
Region Eje Cafetero - Antioquia,5,Antioquia,5.002,Abejorral
Region Eje Cafetero - Antioquia,5,Antioquia,5.004,Abriaqui
Region Eje Cafetero - Antioquia,5,Antioquia,5.021,Alejandria
Region Eje Cafetero - Antioquia,5,Antioquia,5.03,Amaga
Region Eje Cafetero - Antioquia,5,Antioquia,5.031,Amalfi
Region Eje Cafetero - Antioquia,5,Antioquia,5.034,Andes
Region Eje Cafetero - Antioquia,5,Antioquia,5.036,Angelopolis
Region Eje Cafetero - Antioquia,5,Antioquia,5.038,Angostura
Region Eje Cafetero - Antioquia,5,Antioquia,5.04,Anori
Region Centro Oriente,15,Boyaca,15.832,Tunungua
Region Eje Cafetero - Antioquia,5,Antioquia,5.044,Anza
Region Eje Cafetero - Antioquia,5,Antioquia,5.045,Apartado
Region Eje Cafetero - Antioquia,5,Antioquia,5.051,Arboletes
Region Eje Cafetero - Antioquia,5,Antioquia,5.055,Argelia
Region Eje Cafetero - Antioquia,5,Antioquia,5.059,Armenia
Region Eje Cafetero - Antioquia,5,Antioquia,5.079,Barbosa
Region Eje Cafetero - Antioquia,5,Antioquia,5.088,Bello
Region Eje Cafetero - Antioquia,5,Antioquia,5.091,Betania
Region Eje Cafetero - Antioquia,5,Antioquia,5.093,Betulia
Region Eje Cafetero - Antioquia,5,Antioquia,5.101,Ciudad Bolivar
Region Eje Cafetero - Antioquia,5,Antioquia,5.107,Briceno
Region Eje Cafetero - Antioquia,5,Antioquia,5.113,Buritica
Region Eje Cafetero - Antioquia,5,Antioquia,5.12,Caceres
Region Eje Cafetero - Antioquia,5,Antioquia,5.125,Caicedo
Region Eje Cafetero - Antioquia,5,Antioquia,5.129,Caldas
Region Eje Cafetero - Antioquia,5,Antioquia,5.134,Campamento
Region Eje Cafetero - Antioquia,5,Antioquia,5.138,Canasgordas
Region Eje Cafetero - Antioquia,5,Antioquia,5.142,Caracoli
Region Eje Cafetero - Antioquia,5,Antioquia,5.145,Caramanta
Region Eje Cafetero - Antioquia,5,Antioquia,5.147,Carepa
Region Centro Oriente,15,Boyaca,15.476,Motavita
Region Eje Cafetero - Antioquia,5,Antioquia,5.15,Carolina
Region Eje Cafetero - Antioquia,5,Antioquia,5.154,Caucasia
Region Eje Cafetero - Antioquia,5,Antioquia,5.172,Chigorodo
Region Eje Cafetero - Antioquia,5,Antioquia,5.19,Cisneros
Region Eje Cafetero - Antioquia,5,Antioquia,5.197,Cocorna
Region Eje Cafetero - Antioquia,5,Antioquia,5.206,Concepcion
Region Eje Cafetero - Antioquia,5,Antioquia,5.209,Concordia
Region Eje Cafetero - Antioquia,5,Antioquia,5.212,Copacabana
Region Eje Cafetero - Antioquia,5,Antioquia,5.234,Dabeiba
Region Eje Cafetero - Antioquia,5,Antioquia,5.237,Don Matias
Region Eje Cafetero - Antioquia,5,Antioquia,5.24,Ebejico
Region Eje Cafetero - Antioquia,5,Antioquia,5.25,El Bagre
Region Eje Cafetero - Antioquia,5,Antioquia,5.264,Entrerrios
Region Eje Cafetero - Antioquia,5,Antioquia,5.266,Envigado
Region Eje Cafetero - Antioquia,5,Antioquia,5.282,Fredonia
Region Caribe,23,Cordoba,23.675,San Bernardo del Viento
Region Eje Cafetero - Antioquia,5,Antioquia,5.306,Giraldo
Region Eje Cafetero - Antioquia,5,Antioquia,5.308,Girardota
Region Eje Cafetero - Antioquia,5,Antioquia,5.31,Gomez Plata
Region Pacifico,27,Choco,27.361,Istmina
Region Eje Cafetero - Antioquia,5,Antioquia,5.315,Guadalupe
Region Eje Cafetero - Antioquia,5,Antioquia,5.318,Guarne
Region Eje Cafetero - Antioquia,5,Antioquia,5.321,Guatape
Region Eje Cafetero - Antioquia,5,Antioquia,5.347,Heliconia
Region Eje Cafetero - Antioquia,5,Antioquia,5.353,Hispania
Region Eje Cafetero - Antioquia,5,Antioquia,5.36,Itagui
Region Eje Cafetero - Antioquia,5,Antioquia,5.361,Ituango
Region Eje Cafetero - Antioquia,5,Antioquia,5.086,Belmira
Region Eje Cafetero - Antioquia,5,Antioquia,5.368,Jerico
Region Eje Cafetero - Antioquia,5,Antioquia,5.376,La Ceja
Region Eje Cafetero - Antioquia,5,Antioquia,5.38,La Estrella
Region Eje Cafetero - Antioquia,5,Antioquia,5.39,La Pintada
Region Eje Cafetero - Antioquia,5,Antioquia,5.4,La Union
Region Eje Cafetero - Antioquia,5,Antioquia,5.411,Liborina
Region Eje Cafetero - Antioquia,5,Antioquia,5.425,Maceo
Region Eje Cafetero - Antioquia,5,Antioquia,5.44,Marinilla
Region Eje Cafetero - Antioquia,5,Antioquia,5.467,Montebello
Region Eje Cafetero - Antioquia,5,Antioquia,5.475,Murindo
Region Eje Cafetero - Antioquia,5,Antioquia,5.48,Mutata
Region Eje Cafetero - Antioquia,5,Antioquia,5.483,Narino
Region Eje Cafetero - Antioquia,5,Antioquia,5.49,Necocli
Region Eje Cafetero - Antioquia,5,Antioquia,5.495,Nechi
Region Eje Cafetero - Antioquia,5,Antioquia,5.501,Olaya
Region Eje Cafetero - Antioquia,5,Antioquia,5.541,Penol
Region Eje Cafetero - Antioquia,5,Antioquia,5.543,Peque
Region Eje Cafetero - Antioquia,5,Antioquia,5.576,Pueblorrico
Region Eje Cafetero - Antioquia,5,Antioquia,5.579,Puerto Berrio
Region Eje Cafetero - Antioquia,5,Antioquia,5.585,Puerto Nare
Region Eje Cafetero - Antioquia,5,Antioquia,5.591,Puerto Triunfo
Region Eje Cafetero - Antioquia,5,Antioquia,5.604,Remedios
Region Eje Cafetero - Antioquia,5,Antioquia,5.607,Retiro
Region Eje Cafetero - Antioquia,5,Antioquia,5.615,Rionegro
Region Eje Cafetero - Antioquia,5,Antioquia,5.628,Sabanalarga
Region Eje Cafetero - Antioquia,5,Antioquia,5.631,Sabaneta
Region Eje Cafetero - Antioquia,5,Antioquia,5.642,Salgar
Region Centro Oriente,15,Boyaca,15.189,Cienega
Region Pacifico,52,Narino,52.699,Santacruz
Region Eje Cafetero - Antioquia,5,Antioquia,5.652,San Francisco
Region Eje Cafetero - Antioquia,5,Antioquia,5.656,San Jeronimo
Region Centro Oriente,68,Santander,68.575,Puerto Wilches
Region Centro Oriente,68,Santander,68.573,Puerto Parra
Region Eje Cafetero - Antioquia,5,Antioquia,5.66,San Luis
Region Eje Cafetero - Antioquia,5,Antioquia,5.664,San Pedro
Region Eje Cafetero - Antioquia,5,Antioquia,5.667,San Rafael
Region Eje Cafetero - Antioquia,5,Antioquia,5.67,San Roque
Region Eje Cafetero - Antioquia,5,Antioquia,5.674,San Vicente
Region Eje Cafetero - Antioquia,5,Antioquia,5.679,Santa Barbara
Region Eje Cafetero - Antioquia,5,Antioquia,5.69,Santo Domingo
Region Eje Cafetero - Antioquia,5,Antioquia,5.697,El Santuario
Region Eje Cafetero - Antioquia,5,Antioquia,5.736,Segovia
Region Eje Cafetero - Antioquia,5,Antioquia,5.761,Sopetran
Region Llano,50,Meta,50.37,Uribe
Region Eje Cafetero - Antioquia,5,Antioquia,5.789,Tamesis
Region Eje Cafetero - Antioquia,5,Antioquia,5.79,Taraza
Region Eje Cafetero - Antioquia,5,Antioquia,5.792,Tarso
Region Eje Cafetero - Antioquia,5,Antioquia,5.809,Titiribi
Region Eje Cafetero - Antioquia,5,Antioquia,5.819,Toledo
Region Eje Cafetero - Antioquia,5,Antioquia,5.837,Turbo
Region Eje Cafetero - Antioquia,5,Antioquia,5.842,Uramita
Region Eje Cafetero - Antioquia,5,Antioquia,5.847,Urrao
Region Eje Cafetero - Antioquia,5,Antioquia,5.854,Valdivia
Region Eje Cafetero - Antioquia,5,Antioquia,5.856,Valparaiso
Region Eje Cafetero - Antioquia,5,Antioquia,5.858,Vegachi
Region Eje Cafetero - Antioquia,5,Antioquia,5.861,Venecia
Region Eje Cafetero - Antioquia,5,Antioquia,5.885,Yali
Region Eje Cafetero - Antioquia,5,Antioquia,5.887,Yarumal
Region Eje Cafetero - Antioquia,5,Antioquia,5.89,Yolombo
Region Eje Cafetero - Antioquia,5,Antioquia,5.893,Yondo
Region Eje Cafetero - Antioquia,5,Antioquia,5.895,Zaragoza
Region Caribe,8,Atlantico,8.001,Barranquilla
Region Caribe,8,Atlantico,8.078,Baranoa
Region Caribe,8,Atlantico,8.141,Candelaria
Region Caribe,8,Atlantico,8.296,Galapa
Region Caribe,8,Atlantico,8.421,Luruaco
Region Caribe,8,Atlantico,8.433,Malambo
Region Caribe,8,Atlantico,8.436,Manati
Region Caribe,8,Atlantico,8.549,Piojo
Region Caribe,8,Atlantico,8.558,Polonuevo
Region Caribe,8,Atlantico,8.634,Sabanagrande
Region Caribe,8,Atlantico,8.638,Sabanalarga
Region Caribe,8,Atlantico,8.675,Santa Lucia
Region Caribe,8,Atlantico,8.685,Santo Tomas
Region Caribe,8,Atlantico,8.758,Soledad
Region Caribe,8,Atlantico,8.77,Suan
Region Caribe,8,Atlantico,8.832,Tubara
Region Caribe,8,Atlantico,8.849,Usiacuri
Region Caribe,13,Bolivar,13.006,Achi
Region Caribe,13,Bolivar,13.042,Arenal
Region Caribe,13,Bolivar,13.052,Arjona
Region Caribe,13,Bolivar,13.062,Arroyohondo
Region Caribe,13,Bolivar,13.14,Calamar
Region Caribe,13,Bolivar,13.16,Cantagallo
Region Caribe,13,Bolivar,13.188,Cicuco
Region Caribe,13,Bolivar,13.212,Cordoba
Region Caribe,13,Bolivar,13.222,Clemencia
Region Caribe,13,Bolivar,13.248,El Guamo
Region Caribe,13,Bolivar,13.43,Magangue
Region Caribe,13,Bolivar,13.433,Mahates
Region Caribe,13,Bolivar,13.44,Margarita
Region Caribe,13,Bolivar,13.458,Montecristo
Region Caribe,13,Bolivar,13.468,Mompos
Region Caribe,13,Bolivar,13.473,Morales
Region Caribe,13,Bolivar,13.49,Norosi
Region Caribe,13,Bolivar,13.549,Pinillos
Region Caribe,13,Bolivar,13.58,Regidor
Region Caribe,13,Bolivar,13.6,Rio Viejo
Region Caribe,13,Bolivar,13.647,San Estanislao
Region Caribe,13,Bolivar,13.65,San Fernando
Region Caribe,13,Bolivar,13.657,San Juan Nepomuceno
Region Caribe,13,Bolivar,13.673,Santa Catalina
Region Caribe,13,Bolivar,13.683,Santa Rosa
Region Caribe,13,Bolivar,13.744,Simiti
Region Caribe,13,Bolivar,13.76,Soplaviento
Region Caribe,13,Bolivar,13.78,Talaigua Nuevo
Region Caribe,13,Bolivar,13.81,Tiquisio
Region Caribe,13,Bolivar,13.836,Turbaco
Region Caribe,13,Bolivar,13.838,Turbana
Region Caribe,13,Bolivar,13.873,Villanueva
Region Centro Oriente,15,Boyaca,15.001,Tunja
Region Centro Oriente,15,Boyaca,15.022,Almeida
Region Centro Oriente,15,Boyaca,15.047,Aquitania
Region Centro Oriente,15,Boyaca,15.051,Arcabuco
Region Centro Oriente,15,Boyaca,15.09,Berbeo
Region Centro Oriente,15,Boyaca,15.092,Beteitiva
Region Centro Oriente,15,Boyaca,15.097,Boavita
Region Centro Oriente,15,Boyaca,15.104,Boyaca
Region Centro Oriente,15,Boyaca,15.106,Briceno
Region Centro Oriente,15,Boyaca,15.109,Buena Vista
Region Centro Oriente,15,Boyaca,15.114,Busbanza
Region Centro Oriente,15,Boyaca,15.131,Caldas
Region Centro Oriente,15,Boyaca,15.135,Campohermoso
Region Centro Oriente,15,Boyaca,15.162,Cerinza
Region Centro Oriente,15,Boyaca,15.172,Chinavita
Region Centro Oriente,15,Boyaca,15.176,Chiquinquira
Region Centro Oriente,15,Boyaca,15.18,Chiscas
Region Centro Oriente,15,Boyaca,15.183,Chita
Region Centro Oriente,15,Boyaca,15.185,Chitaraque
Region Centro Oriente,15,Boyaca,15.187,Chivata
Region Centro Oriente,15,Boyaca,15.204,Combita
Region Centro Oriente,15,Boyaca,15.212,Coper
Region Centro Oriente,15,Boyaca,15.215,Corrales
Region Centro Oriente,15,Boyaca,15.218,Covarachia
Region Centro Oriente,15,Boyaca,15.223,Cubara
Region Centro Oriente,15,Boyaca,15.224,Cucaita
Region Centro Oriente,15,Boyaca,15.226,Cuitiva
Region Centro Oriente,15,Boyaca,15.232,Chiquiza
Region Centro Oriente,15,Boyaca,15.236,Chivor
Region Centro Oriente,15,Boyaca,15.238,Duitama
Region Centro Oriente,15,Boyaca,15.244,El Cocuy
Region Centro Oriente,15,Boyaca,15.248,El Espino
Region Centro Oriente,15,Boyaca,15.272,Firavitoba
Region Centro Oriente,15,Boyaca,15.276,Floresta
Region Centro Oriente,15,Boyaca,15.293,Gachantiva
Region Centro Oriente,15,Boyaca,15.296,Gameza
Region Centro Oriente,15,Boyaca,15.299,Garagoa
Region Centro Oriente,15,Boyaca,15.317,Guacamayas
Region Centro Oriente,15,Boyaca,15.322,Guateque
Region Centro Oriente,15,Boyaca,15.325,Guayata
Region Centro Oriente,15,Boyaca,15.332,Guican
Region Centro Oriente,15,Boyaca,15.362,Iza
Region Centro Oriente,15,Boyaca,15.367,Jenesano
Region Centro Oriente,15,Boyaca,15.368,Jerico
Region Centro Oriente,15,Boyaca,15.377,Labranzagrande
Region Centro Oriente,15,Boyaca,15.38,La Capilla
Region Centro Oriente,15,Boyaca,15.401,La Victoria
Region Centro Oriente,15,Boyaca,15.425,Macanal
Region Centro Oriente,15,Boyaca,15.442,Maripi
Region Centro Oriente,15,Boyaca,15.455,Miraflores
Region Centro Oriente,15,Boyaca,15.464,Mongua
Region Centro Oriente,15,Boyaca,15.466,Mongui
Region Centro Oriente,15,Boyaca,15.469,Moniquira
Region Centro Oriente,15,Boyaca,15.48,Muzo
Region Centro Oriente,15,Boyaca,15.491,Nobsa
Region Centro Oriente,15,Boyaca,15.494,Nuevo Colon
Region Centro Oriente,15,Boyaca,15.5,Oicata
Region Centro Oriente,15,Boyaca,15.507,Otanche
Region Centro Oriente,15,Boyaca,15.511,Pachavita
Region Centro Oriente,15,Boyaca,15.514,Paez
Region Centro Oriente,15,Boyaca,15.516,Paipa
Region Centro Oriente,15,Boyaca,15.518,Pajarito
Region Centro Oriente,15,Boyaca,15.522,Panqueba
Region Centro Oriente,15,Boyaca,15.531,Pauna
Region Centro Oriente,15,Boyaca,15.533,Paya
Region Centro Oriente,15,Boyaca,15.542,Pesca
Region Centro Oriente,15,Boyaca,15.55,Pisba
Region Centro Oriente,15,Boyaca,15.572,Puerto Boyaca
Region Centro Oriente,15,Boyaca,15.58,Quipama
Region Centro Oriente,15,Boyaca,15.599,Ramiriqui
Region Centro Oriente,15,Boyaca,15.6,Raquira
Region Centro Oriente,15,Boyaca,15.621,Rondon
Region Centro Oriente,15,Boyaca,15.632,Saboya
Region Centro Oriente,15,Boyaca,15.638,Sachica
Region Centro Oriente,15,Boyaca,15.646,Samaca
Region Centro Oriente,15,Boyaca,15.66,San Eduardo
Region Centro Oriente,15,Boyaca,15.673,San Mateo
Region Centro Oriente,15,Boyaca,15.686,Santana
Region Centro Oriente,15,Boyaca,15.69,Santa Maria
Region Centro Oriente,15,Boyaca,15.696,Santa Sofia
Region Centro Oriente,15,Boyaca,15.72,Sativanorte
Region Centro Oriente,15,Boyaca,15.723,Sativasur
Region Centro Oriente,15,Boyaca,15.74,Siachoque
Region Centro Oriente,15,Boyaca,15.753,Soata
Region Centro Oriente,15,Boyaca,15.755,Socota
Region Centro Oriente,15,Boyaca,15.757,Socha
Region Centro Oriente,15,Boyaca,15.759,Sogamoso
Region Centro Oriente,15,Boyaca,15.761,Somondoco
Region Centro Oriente,15,Boyaca,15.762,Sora
Region Centro Oriente,15,Boyaca,15.763,Sotaquira
